Class,Pclass,Age,Fare,FamilySize,IsAlone,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Other
1,3,23.0,7.55,1,1,1,0,0,0,1,0,1,0,0,0
0,3,22.0,9.8375,1,1,1,0,0,0,1,0,1,0,0,0
0,3,10.0,24.15,3,0,1,0,0,0,1,0,1,0,0,0
0,2,27.0,13.0,1,1,0,1,0,0,1,0,0,1,0,0
0,3,20.0,9.8458,1,1,0,1,0,0,1,0,0,1,0,0
1,2,23.0,13.7917,1,1,1,0,1,0,0,0,0,0,1,0
1,3,32.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,2,19.0,13.0,1,1,0,1,0,0,1,0,0,1,0,0
0,1,40.0,27.7208,1,1,0,1,1,0,0,0,0,0,0,1
1,2,24.0,14.5,3,0,1,0,0,0,1,0,0,0,1,0
1,1,0.92,151.55,4,0,0,1,0,0,1,1,0,0,0,0
0,3,30.0,14.4583,2,0,1,0,1,0,0,0,0,0,1,0
1,3,30.0,7.8792,1,1,1,0,0,1,0,0,1,0,0,0
0,3,38.0,7.05,1,1,0,1,0,0,1,0,0,1,0,0
1,2,22.0,41.5792,4,0,1,0,1,0,0,0,0,0,1,0
0,3,21.0,9.825,2,0,1,0,0,0,1,0,1,0,0,0
0,3,35.0,7.125,1,1,0,1,0,0,1,0,0,1,0,0
0,3,22.0,9.35,1,1,0,1,0,0,1,0,0,1,0,0
0,3,42.0,8.6625,1,1,0,1,0,0,1,0,0,1,0,0
0,2,29.0,10.5,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,69.55,11,0,1,0,0,0,1,0,1,0,0,0
0,3,23.5,7.2292,1,1,0,1,1,0,0,0,0,1,0,0
0,2,26.0,10.5,1,1,0,1,0,0,1,0,0,1,0,0
0,1,56.0,26.55,1,1,0,1,0,0,1,0,0,1,0,0
0,2,34.0,26.0,2,0,0,1,0,0,1,0,0,1,0,0
0,3,31.0,7.75,1,1,0,1,0,1,0,0,0,1,0,0
1,3,15.0,7.225,1,1,1,0,1,0,0,0,1,0,0,0
0,3,41.0,39.6875,6,0,1,0,0,0,1,0,0,0,1,0
1,2,18.0,23.0,2,0,1,0,0,0,1,0,1,0,0,0
1,3,16.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
0,1,38.0,153.4625,2,0,0,1,0,0,1,0,0,1,0,0
0,3,21.0,8.6625,1,1,0,1,0,0,1,0,0,1,0,0
1,1,42.0,52.5542,2,0,0,1,0,0,1,0,0,1,0,0
0,3,30.0,7.2292,1,1,0,1,1,0,0,0,0,1,0,0
1,3,19.0,7.8792,1,1,1,0,0,1,0,0,1,0,0,0
0,3,30.0,7.75,1,1,1,0,0,1,0,0,1,0,0,0
0,2,23.0,13.0,1,1,0,1,0,0,1,0,0,1,0,0
0,2,24.0,13.0,1,1,1,0,0,0,1,0,1,0,0,0
0,3,22.0,7.2292,1,1,0,1,1,0,0,0,0,1,0,0
0,3,8.0,29.125,6,0,0,1,0,1,0,1,0,0,0,0
1,2,28.0,26.0,2,0,1,0,0,0,1,0,0,0,1,0
1,3,20.0,15.7417,3,0,0,1,1,0,0,0,0,1,0,0
0,3,47.0,14.5,2,0,1,0,0,0,1,0,0,0,1,0
0,3,30.0,19.9667,2,0,0,1,0,0,1,0,0,1,0,0
1,1,33.0,86.5,1,1,1,0,0,0,1,0,0,0,0,1
1,2,24.0,27.0,4,0,1,0,0,0,1,0,0,0,1,0
1,1,35.0,26.55,1,1,0,1,1,0,0,0,0,1,0,0
1,1,24.0,83.1583,1,1,1,0,1,0,0,0,1,0,0,0
1,1,4.0,81.8583,3,0,0,1,0,0,1,1,0,0,0,0
1,1,51.0,26.55,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,7.2292,1,1,0,1,1,0,0,0,0,1,0,0
0,3,32.0,15.85,2,0,0,1,0,0,1,0,0,1,0,0
1,2,45.0,26.25,3,0,1,0,0,0,1,0,0,0,1,0
0,3,36.0,0.0,1,1,0,1,0,0,1,0,0,1,0,0
1,1,51.0,77.9583,2,0,1,0,0,0,1,0,0,0,1,0
0,2,36.5,26.0,3,0,0,1,0,0,1,0,0,1,0,0
0,2,39.0,13.0,1,1,0,1,0,0,1,0,0,1,0,0
0,2,30.0,0.0,1,1,0,1,0,0,1,0,0,1,0,0
0,3,24.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
1,3,27.0,6.975,1,1,0,1,0,0,1,0,0,1,0,0
1,2,32.0,13.0,1,1,1,0,0,0,1,0,0,0,1,0
0,3,30.0,7.75,2,0,0,1,0,1,0,0,0,1,0,0
1,3,30.0,7.8292,1,1,1,0,0,1,0,0,1,0,0,0
1,3,30.0,7.8792,1,1,1,0,0,1,0,0,1,0,0,0
0,1,64.0,26.0,1,1,0,1,0,0,1,0,0,1,0,0
0,3,16.0,46.9,8,0,1,0,0,0,1,0,1,0,0,0
0,3,22.0,7.25,2,0,0,1,0,0,1,0,0,1,0,0
1,1,35.0,83.475,2,0,1,0,0,0,1,0,0,0,1,0
0,2,36.0,12.875,1,1,0,1,1,0,0,0,0,1,0,0
0,3,22.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
1,2,32.0,26.0,2,0,0,1,0,0,1,0,0,1,0,0
1,1,18.0,79.65,3,0,1,0,0,0,1,0,1,0,0,0
0,2,34.0,13.0,1,1,0,1,0,0,1,0,0,1,0,0
1,1,30.0,26.55,1,1,0,1,0,0,1,0,0,1,0,0
0,3,36.0,15.55,2,0,0,1,0,0,1,0,0,1,0,0
1,3,29.0,7.75,1,1,0,1,0,1,0,0,0,1,0,0
0,3,24.0,8.85,1,1,1,0,0,0,1,0,1,0,0,0
1,1,17.0,57.0,2,0,1,0,0,0,1,0,0,0,1,0
1,3,30.0,16.1,2,0,1,0,0,0,1,0,0,0,1,0
0,3,28.0,22.525,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,15.5,1,1,0,1,0,1,0,0,0,1,0,0
1,3,21.0,7.7958,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,25.4667,5,0,1,0,0,0,1,0,1,0,0,0
1,2,48.0,65.0,4,0,1,0,0,0,1,0,0,0,1,0
1,3,36.0,17.4,2,0,1,0,0,0,1,0,0,0,1,0
0,3,37.0,9.5875,1,1,1,0,0,0,1,0,1,0,0,0
0,3,27.0,14.4542,2,0,0,1,1,0,0,0,0,1,0,0
1,3,29.0,15.2458,3,0,1,0,1,0,0,0,0,0,1,0
0,3,30.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,3,51.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,7.2292,1,1,0,1,1,0,0,0,0,1,0,0
0,1,30.0,25.925,1,1,0,1,0,0,1,0,0,1,0,0
0,3,19.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
1,1,28.0,35.5,1,1,0,1,0,0,1,0,0,1,0,0
1,1,30.0,79.2,1,1,1,0,1,0,0,0,0,0,1,0
0,3,43.0,6.45,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
0,3,2.0,39.6875,6,0,0,1,0,0,1,1,0,0,0,0
0,3,24.0,9.5,1,1,0,1,0,0,1,0,0,1,0,0
0,3,17.0,7.0542,2,0,0,1,0,0,1,0,0,1,0,0
1,2,24.0,18.75,6,0,1,0,0,0,1,0,0,0,1,0
1,3,30.0,12.475,1,1,1,0,0,0,1,0,1,0,0,0
1,1,44.0,27.7208,1,1,1,0,1,0,0,0,0,0,1,0
0,3,30.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
0,3,32.0,7.75,1,1,0,1,0,1,0,0,0,1,0,0
0,2,36.0,27.75,4,0,0,1,0,0,1,0,0,1,0,0
1,3,30.0,16.1,2,0,1,0,0,0,1,0,0,0,1,0
0,3,9.0,46.9,8,0,0,1,0,0,1,1,0,0,0,0
0,3,44.0,16.1,2,0,0,1,0,0,1,0,0,1,0,0
1,3,30.0,7.8792,1,1,1,0,0,1,0,0,1,0,0,0
1,1,24.0,49.5042,1,1,1,0,1,0,0,0,0,0,0,1
0,3,41.0,14.1083,3,0,0,1,0,0,1,0,0,1,0,0
1,2,36.0,13.0,1,1,1,0,0,0,1,0,1,0,0,0
0,1,19.0,53.1,2,0,0,1,0,0,1,0,0,1,0,0
1,1,39.0,83.1583,3,0,1,0,1,0,0,0,1,0,0,0
0,3,17.0,8.6625,1,1,0,1,0,0,1,0,0,1,0,0
0,2,23.0,11.5,4,0,0,1,0,0,1,0,0,1,0,0
0,3,20.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
1,3,32.0,56.4958,1,1,0,1,0,0,1,0,0,1,0,0
0,1,50.0,55.9,2,0,0,1,0,0,1,0,0,1,0,0
0,3,30.0,7.75,1,1,0,1,0,1,0,0,0,1,0,0
0,3,30.0,7.75,1,1,0,1,0,1,0,0,0,1,0,0
1,3,29.0,9.5,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,14.4542,2,0,1,0,1,0,0,0,1,0,0,0
1,1,31.0,57.0,2,0,0,1,0,0,1,0,0,1,0,0
0,1,28.0,82.1708,2,0,0,1,1,0,0,0,0,1,0,0
1,2,50.0,26.0,2,0,1,0,0,0,1,0,0,0,1,0
0,3,2.0,29.125,6,0,0,1,0,1,0,1,0,0,0,0
0,3,30.0,7.6292,1,1,1,0,0,1,0,0,1,0,0,0
0,3,1.0,46.9,8,0,0,1,0,0,1,1,0,0,0,0
0,3,28.0,7.925,3,0,0,1,0,0,1,0,0,1,0,0
1,3,26.0,56.4958,1,1,0,1,0,0,1,0,0,1,0,0
0,3,19.0,10.1708,1,1,0,1,0,0,1,0,0,1,0,0
0,3,28.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
1,2,54.0,23.0,5,0,1,0,0,0,1,0,0,0,1,0
0,3,9.0,31.3875,7,0,0,1,0,0,1,1,0,0,0,0
0,3,26.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
1,1,21.0,77.9583,1,1,1,0,0,0,1,0,1,0,0,0
0,3,30.0,25.4667,5,0,1,0,0,0,1,0,1,0,0,0
0,3,19.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
1,3,27.0,8.6625,1,1,0,1,0,0,1,0,0,1,0,0
0,1,46.0,61.175,2,0,0,1,0,0,1,0,0,1,0,0
0,3,26.0,14.4542,2,0,0,1,1,0,0,0,0,1,0,0
1,1,21.0,262.375,5,0,1,0,1,0,0,0,1,0,0,0
0,3,18.0,18.0,3,0,1,0,0,0,1,0,1,0,0,0
1,3,29.0,7.8958,1,1,0,1,1,0,0,0,0,1,0,0
0,3,20.0,8.6625,1,1,1,0,0,0,1,0,1,0,0,0
0,2,43.0,26.25,3,0,0,1,0,0,1,0,0,1,0,0
1,2,30.0,12.35,1,1,1,0,0,1,0,0,1,0,0,0
0,3,22.0,7.5208,1,1,0,1,0,0,1,0,0,1,0,0
0,3,33.0,20.525,3,0,0,1,0,0,1,0,0,1,0,0
0,2,46.0,26.0,1,1,0,1,0,0,1,0,0,1,0,0
1,2,29.0,26.0,2,0,1,0,0,0,1,0,0,0,1,0
0,2,36.0,13.0,1,1,0,1,0,0,1,0,0,1,0,0
1,2,8.0,26.25,3,0,1,0,0,0,1,0,1,0,0,0
0,3,14.0,39.6875,6,0,0,1,0,0,1,0,0,1,0,0
1,3,30.0,7.225,1,1,1,0,1,0,0,0,0,0,1,0
0,3,29.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,3,22.0,7.7958,1,1,0,1,0,0,1,0,0,1,0,0
1,3,30.0,7.75,1,1,1,0,0,1,0,0,1,0,0,0
1,3,30.0,7.75,1,1,1,0,0,1,0,0,1,0,0,0
0,3,30.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,1,30.0,0.0,1,1,0,1,0,0,1,0,0,1,0,0
1,3,16.0,7.75,1,1,1,0,0,1,0,0,1,0,0,0
0,3,30.0,14.5,1,1,0,1,0,0,1,0,0,1,0,0
1,1,29.0,211.3375,1,1,1,0,0,0,1,0,1,0,0,0
0,3,22.0,10.5167,1,1,1,0,0,0,1,0,1,0,0,0
0,2,21.0,11.5,2,0,0,1,0,0,1,0,0,1,0,0
0,3,24.0,7.4958,1,1,0,1,0,0,1,0,0,1,0,0
0,3,18.0,17.8,2,0,1,0,0,0,1,0,0,0,1,0
1,1,26.0,30.0,1,1,0,1,1,0,0,0,0,1,0,0
0,2,66.0,10.5,1,1,0,1,0,0,1,0,0,1,0,0
1,1,54.0,59.4,2,0,1,0,1,0,0,0,0,0,1,0
0,3,28.0,14.4,3,0,1,0,0,0,1,0,0,0,1,0
1,1,19.0,30.0,1,1,1,0,0,0,1,0,1,0,0,0
0,2,26.0,26.0,3,0,1,0,0,0,1,0,0,0,1,0
1,1,17.0,110.8833,3,0,0,1,1,0,0,0,0,1,0,0
0,3,18.0,7.775,1,1,0,1,0,0,1,0,0,1,0,0
0,1,70.0,71.0,3,0,0,1,0,0,1,0,0,0,0,1
0,3,26.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,1,44.0,90.0,3,0,0,1,0,1,0,0,0,0,0,1
1,1,53.0,51.4792,3,0,1,0,0,0,1,0,0,0,1,0
0,2,52.0,13.0,1,1,0,1,0,0,1,0,0,1,0,0
1,1,33.0,90.0,2,0,1,0,0,1,0,0,1,0,0,0
0,2,23.0,10.5,1,1,0,1,0,0,1,0,0,0,0,1
1,3,0.75,19.2583,4,0,1,0,1,0,0,0,1,0,0,0
0,3,30.0,15.5,2,0,0,1,0,1,0,0,0,1,0,0
0,2,32.0,10.5,1,1,0,1,0,0,1,0,0,1,0,0
0,3,25.0,17.8,2,0,0,1,0,0,1,0,0,1,0,0
0,3,11.0,46.9,8,0,0,1,0,0,1,1,0,0,0,0
0,3,20.0,8.6625,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,8.4583,1,1,0,1,0,1,0,0,0,1,0,0
0,3,61.0,6.2375,1,1,0,1,0,0,1,0,0,1,0,0
1,3,30.0,7.75,1,1,0,1,0,1,0,0,0,1,0,0
0,2,57.0,10.5,1,1,1,0,0,0,1,0,0,0,1,0
0,1,61.0,33.5,1,1,0,1,0,0,1,0,0,1,0,0
1,2,24.0,65.0,4,0,1,0,0,0,1,0,1,0,0,0
0,1,36.0,40.125,1,1,0,1,1,0,0,0,0,1,0,0
1,2,31.0,13.0,1,1,0,1,0,0,1,0,0,1,0,0
0,3,35.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,1,33.0,5.0,1,1,0,1,0,0,1,0,0,1,0,0
1,1,49.0,89.1042,2,0,0,1,1,0,0,0,0,1,0,0
0,2,28.0,13.5,1,1,0,1,0,0,1,0,0,1,0,0
0,3,28.0,9.5,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,3,40.0,7.225,1,1,0,1,1,0,0,0,0,1,0,0
1,3,0.75,19.2583,4,0,1,0,1,0,0,0,1,0,0,0
1,1,45.0,26.55,1,1,0,1,0,0,1,0,0,1,0,0
1,1,36.0,71.0,3,0,1,0,0,0,1,0,1,0,0,0
0,3,30.0,8.6625,1,1,0,1,0,0,1,0,0,1,0,0
1,2,40.0,39.0,3,0,1,0,0,0,1,0,0,0,1,0
0,3,18.0,7.75,1,1,0,1,0,0,1,0,0,1,0,0
1,1,24.0,69.3,1,1,1,0,1,0,0,0,0,0,0,1
1,3,30.0,8.1125,1,1,0,1,0,0,1,0,0,1,0,0
1,3,17.0,7.925,7,0,1,0,0,0,1,0,1,0,0,0
0,1,65.0,61.9792,2,0,0,1,1,0,0,0,0,1,0,0
0,1,39.0,0.0,1,1,0,1,0,0,1,0,0,1,0,0
0,3,65.0,7.75,1,1,0,1,0,1,0,0,0,1,0,0
0,2,30.0,0.0,1,1,0,1,0,0,1,0,0,1,0,0
1,2,13.0,19.5,2,0,1,0,0,0,1,0,1,0,0,0
0,3,28.0,7.7958,1,1,0,1,0,0,1,0,0,1,0,0
0,2,70.0,10.5,1,1,0,1,0,0,1,0,0,1,0,0
1,2,3.0,26.0,3,0,0,1,0,0,1,1,0,0,0,0
0,3,30.0,69.55,11,0,0,1,0,0,1,0,0,1,0,0
0,3,21.0,7.7333,1,1,0,1,0,1,0,0,0,1,0,0
0,1,40.0,0.0,1,1,0,1,0,0,1,0,0,1,0,0
0,1,61.0,32.3208,1,1,0,1,0,0,1,0,0,1,0,0
1,2,17.0,10.5,1,1,1,0,0,0,1,0,1,0,0,0
0,3,17.0,7.2292,3,0,0,1,1,0,0,0,0,1,0,0
0,3,45.0,7.75,1,1,1,0,0,0,1,0,1,0,0,0
0,3,30.0,7.75,1,1,0,1,0,1,0,0,0,1,0,0
0,3,30.0,7.7375,1,1,0,1,0,1,0,0,0,1,0,0
0,3,30.0,7.55,1,1,1,0,0,0,1,0,1,0,0,0
0,2,27.0,21.0,2,0,1,0,0,0,1,0,0,0,1,0
0,2,54.0,26.0,2,0,0,1,0,0,1,0,0,0,0,1
0,3,41.0,20.2125,3,0,1,0,0,0,1,0,0,0,1,0
1,2,0.83,18.75,3,0,0,1,0,0,1,1,0,0,0,0
1,3,30.0,15.5,2,0,1,0,0,1,0,0,0,0,1,0
0,2,21.0,73.5,1,1,0,1,0,0,1,0,0,1,0,0
0,3,36.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
0,3,1.0,39.6875,6,0,0,1,0,0,1,1,0,0,0,0
1,1,50.0,133.65,3,0,0,1,0,0,1,0,0,0,0,1
0,3,38.0,8.6625,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,14.4583,1,1,0,1,1,0,0,0,0,1,0,0
1,3,30.0,23.25,3,0,0,1,0,1,0,0,0,1,0,0
1,3,18.0,7.4958,1,1,1,0,0,0,1,0,1,0,0,0
0,3,4.0,27.9,6,0,0,1,0,0,1,1,0,0,0,0
0,1,55.0,30.5,1,1,0,1,0,0,1,0,0,1,0,0
0,1,45.0,83.475,2,0,0,1,0,0,1,0,0,1,0,0
1,2,0.83,29.0,3,0,0,1,0,0,1,1,0,0,0,0
0,3,28.5,7.2292,1,1,0,1,1,0,0,0,0,1,0,0
1,3,30.0,24.15,2,0,1,0,0,1,0,0,1,0,0,0
0,3,70.5,7.75,1,1,0,1,0,1,0,0,0,1,0,0
0,3,33.0,7.8958,1,1,0,1,1,0,0,0,0,1,0,0
0,2,28.0,10.5,1,1,0,1,0,0,1,0,0,1,0,0
1,3,22.0,7.225,1,1,0,1,1,0,0,0,0,1,0,0
0,1,21.0,77.2875,2,0,0,1,0,0,1,0,0,1,0,0
0,3,35.0,7.05,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,7.75,1,1,0,1,0,1,0,0,0,1,0,0
1,3,63.0,9.5875,1,1,1,0,0,0,1,0,0,0,1,0
0,3,30.0,8.05,1,1,1,0,0,0,1,0,1,0,0,0
0,3,30.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
1,3,30.0,7.7333,1,1,1,0,0,1,0,0,1,0,0,0
1,1,25.0,91.0792,2,0,0,1,1,0,0,0,0,1,0,0
0,1,30.0,27.7208,1,1,0,1,1,0,0,0,0,1,0,0
1,2,24.0,26.0,2,0,1,0,0,0,1,0,0,0,1,0
1,3,35.0,20.25,3,0,1,0,0,0,1,0,0,0,1,0
1,2,19.0,10.5,1,1,0,1,0,0,1,0,0,1,0,0
1,3,30.0,7.75,1,1,1,0,0,1,0,0,1,0,0,0
0,1,37.0,29.7,2,0,0,1,1,0,0,0,0,1,0,0
0,3,30.0,7.25,1,1,0,1,0,0,1,0,0,1,0,0
0,2,25.0,13.0,1,1,0,1,0,0,1,0,0,1,0,0
1,1,56.0,83.1583,2,0,1,0,1,0,0,0,0,0,1,0
0,3,74.0,7.775,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,25.4667,5,0,0,1,0,0,1,1,0,0,0,0
0,3,10.0,27.9,6,0,0,1,0,0,1,1,0,0,0,0
0,3,30.0,7.8958,1,1,0,1,1,0,0,0,0,1,0,0
0,3,51.0,7.75,1,1,0,1,0,0,1,0,0,1,0,0
0,2,31.0,37.0042,3,0,0,1,1,0,0,0,0,1,0,0
0,3,30.0,7.3125,1,1,0,1,0,0,1,0,0,1,0,0
0,2,28.0,13.0,1,1,0,1,0,0,1,0,0,1,0,0
1,1,58.0,146.5208,1,1,1,0,1,0,0,0,1,0,0,0
0,3,21.0,7.75,1,1,1,0,0,1,0,0,1,0,0,0
1,2,1.0,37.0042,3,0,0,1,1,0,0,1,0,0,0,0
0,3,9.0,15.2458,3,0,1,0,1,0,0,0,1,0,0,0
0,1,30.0,0.0,1,1,0,1,0,0,1,0,0,1,0,0
0,1,29.0,30.0,1,1,0,1,0,0,1,0,0,1,0,0
0,3,48.0,7.8542,1,1,0,1,0,0,1,0,0,1,0,0
1,3,20.0,7.2292,1,1,0,1,1,0,0,0,0,1,0,0
0,3,21.0,8.4333,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,7.225,1,1,0,1,1,0,0,0,0,1,0,0
1,1,16.0,86.5,1,1,1,0,0,0,1,0,1,0,0,0
1,1,40.0,31.0,1,1,0,1,1,0,0,0,0,1,0,0
0,1,50.0,106.425,2,0,0,1,1,0,0,0,0,1,0,0
1,2,24.0,13.0,1,1,1,0,0,0,1,0,1,0,0,0
1,3,12.0,11.2417,2,0,0,1,1,0,0,1,0,0,0,0
0,3,29.0,7.775,1,1,0,1,0,0,1,0,0,1,0,0
1,3,30.0,9.5,1,1,0,1,0,0,1,0,0,1,0,0
1,2,50.0,10.5,1,1,1,0,0,0,1,0,1,0,0,0
0,2,39.0,26.0,1,1,0,1,0,0,1,0,0,1,0,0
0,3,40.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
1,3,24.0,16.7,3,0,1,0,0,0,1,0,0,0,1,0
0,2,36.0,10.5,1,1,0,1,0,0,1,0,0,1,0,0
0,2,21.0,73.5,3,0,0,1,0,0,1,0,0,1,0,0
1,3,26.0,18.7875,1,1,0,1,1,0,0,0,0,1,0,0
0,2,18.0,11.5,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,7.8958,1,1,0,1,0,0,1,0,0,1,0,0
1,1,40.0,134.5,3,0,1,0,1,0,0,0,0,0,1,0
1,1,33.0,53.1,2,0,1,0,0,0,1,0,0,0,1,0
0,3,30.0,7.225,1,1,0,1,1,0,0,0,0,1,0,0
1,3,4.0,16.7,3,0,1,0,0,0,1,0,1,0,0,0
0,3,41.0,7.125,1,1,0,1,0,0,1,0,0,1,0,0
0,3,28.0,56.4958,1,1,0,1,0,0,1,0,0,1,0,0
1,3,30.0,15.5,2,0,1,0,0,1,0,0,1,0,0,0
0,3,22.0,7.125,1,1,0,1,0,0,1,0,0,1,0,0
0,2,31.0,26.25,3,0,0,1,0,0,1,0,0,1,0,0
0,1,30.0,26.55,1,1,0,1,0,0,1,0,0,1,0,0
0,3,21.0,8.05,1,1,0,1,0,0,1,0,0,1,0,0
0,3,30.0,24.15,1,1,0,1,0,1,0,0,0,1,0,0
0,3,59.0,7.25,1,1,0,1,0,0,1,0,0,1,0,0
